# stepparam	sweepparam	measured
# "stepparam"	"sweepparam"	"measured"
# 85	84
-25.0588	15.7143	-4.53642e+06
-25.0588	16.4286	-4.53192e+06
-25.0588	17.1429	-4.52491e+06
-25.0588	17.8571	-4.52106e+06
-25.0588	18.5714	-4.51696e+06
-25.0588	19.2857	-4.50593e+06
-25.0588	20	-4.49452e+06
-25.0588	20.7143	-4.48755e+06
-25.0588	21.4286	-4.48535e+06
-25.0588	22.1429	-4.47721e+06
-25.0588	22.8571	-4.46601e+06
-25.0588	23.5714	-4.44841e+06
-25.0588	24.2857	-4.43259e+06
-25.0588	25	-4.4224e+06
-25.0588	25.7143	-4.40577e+06
-25.0588	26.4286	-4.3905e+06
-25.0588	27.1429	-4.38051e+06
-25.0588	27.8571	-4.36684e+06
-25.0588	28.5714	-4.3522e+06
-25.0588	29.2857	-4.33063e+06

-24.3529	-30	-4.42053e+06
-24.3529	-29.2857	-4.35671e+06
-24.3529	-28.5714	-4.3105e+06
-24.3529	-27.8571	-4.29238e+06
-24.3529	-27.1429	-4.26883e+06
-24.3529	-26.4286	-4.24484e+06
-24.3529	-25.7143	-4.22779e+06
-24.3529	-25	-4.22224e+06
-24.3529	-24.2857	-4.20798e+06
-24.3529	-23.5714	-4.20131e+06
-24.3529	-22.8571	-4.18601e+06
-24.3529	-22.1429	-4.17393e+06
-24.3529	-21.4286	-4.16914e+06
-24.3529	-20.7143	-4.16923e+06
-24.3529	-20	-4.1629e+06
-24.3529	-19.2857	-4.14599e+06
-24.3529	-18.5714	-4.13946e+06
-24.3529	-17.8571	-4.14379e+06
-24.3529	-17.1429	-4.13747e+06
-24.3529	-16.4286	-4.13073e+06
-24.3529	-15.7143	-4.11928e+06
-24.3529	-15	-4.11514e+06
